2026-06-29 22:20:54 | INFO     | ui.app_window        | History drawer shown
2026-06-29 22:20:55 | INFO     | ui.app_window        | History drawer hidden
2026-06-29 22:20:56 | INFO     | ui.app_window        | History drawer shown
2026-06-29 22:20:56 | INFO     | ui.app_window        | History drawer hidden
2026-06-29 22:22:04 | INFO     | core.data_engine     | Loading folder: C:\Users\ACER\Desktop\ABHISHEKJHA\DOEXCELFILES
2026-06-29 22:22:04 | INFO     | core.data_engine     | Found 3 Excel file(s)
2026-06-29 22:22:06 | INFO     | core.data_engine     | Loading folder: C:\Users\ACER\Desktop\ABHISHEKJHA\DOEXCELFILES
2026-06-29 22:22:06 | INFO     | core.data_engine     | Found 3 Excel file(s)
2026-06-29 22:22:06 | INFO     | core.data_engine     | Loading folder: C:\Users\ACER\Desktop\ABHISHEKJHA\DOEXCELFILES
2026-06-29 22:22:07 | INFO     | core.data_engine     | Found 3 Excel file(s)
2026-06-29 22:22:07 | INFO     | core.data_engine     | Loading folder: C:\Users\ACER\Desktop\ABHISHEKJHA\DOEXCELFILES
2026-06-29 22:22:08 | INFO     | core.data_engine     | Found 3 Excel file(s)
2026-06-29 22:22:09 | INFO     | core.data_engine     | Loading folder: C:\Users\ACER\Desktop\ABHISHEKJHA\DOEXCELFILES
2026-06-29 22:22:10 | INFO     | core.data_engine     | Found 3 Excel file(s)
2026-06-29 22:22:13 | INFO     | ui.app_window        | Form cleared
2026-06-29 22:22:55 | DEBUG    | core.data_engine     | Loaded MASTER SHEET FROM APRIL 2026.xlsx (21907 rows)
2026-06-29 22:22:58 | DEBUG    | core.data_engine     | Loaded MASTER SHEET FROM APRIL 2026.xlsx (21907 rows)
2026-06-29 22:22:59 | DEBUG    | core.settings        | Settings saved to config.json
2026-06-29 22:22:59 | INFO     | ui.app_window        | Application exiting.
2026-06-29 22:23:04 | DEBUG    | core.data_engine     | Loaded MASTER SHEET FROM JAN 2026 FOR FILEFILLUP.xlsx (17924 rows)
2026-06-29 22:23:04 | DEBUG    | core.data_engine     | Loaded MASTER SHEET FROM APRIL 2026.xlsx (21907 rows)
2026-06-29 22:23:04 | DEBUG    | core.data_engine     | Loaded MASTER SHEET FROM APRIL 2026.xlsx (21907 rows)
2026-06-30 08:59:28 | INFO     | root                 | ======================================================================
2026-06-30 08:59:28 | INFO     | root                 |   DONSS — Application Started
2026-06-30 08:59:28 | INFO     | root                 | ======================================================================
2026-06-30 08:59:28 | INFO     | __main__             | Importing UI modules…
2026-06-30 08:59:29 | INFO     | __main__             | Starting main window…
2026-06-30 08:59:29 | DEBUG    | ui.theme             | Theme set to 'dark' (effective: dark)
2026-06-30 08:59:29 | INFO     | core.data_engine     | DataEngine initialised
2026-06-30 08:59:30 | INFO     | ui.app_window        | AppWindow initialised
2026-06-30 08:59:30 | INFO     | ui.app_window        | Auto-loading last folder: C:\Users\ACER\Desktop\ABHISHEKJHA\DOEXCELFILES
2026-06-30 08:59:30 | INFO     | core.data_engine     | Loading folder: C:\Users\ACER\Desktop\ABHISHEKJHA\DOEXCELFILES
2026-06-30 08:59:30 | INFO     | core.data_engine     | Found 3 Excel file(s)
2026-06-30 08:59:38 | DEBUG    | ui.theme             | Theme set to 'light' (effective: light)
2026-06-30 08:59:38 | DEBUG    | core.settings        | Settings saved to config.json
2026-06-30 08:59:38 | INFO     | ui.app_window        | Dark mode toggled -> light
